iter	Passed	Remaining
481	623	669
482	624	668
483	625	666
484	626	665
485	627	663
486	628	662
487	629	660
488	630	658
489	631	657
490	632	655
491	633	654
492	634	652
493	635	651
494	636	649
495	637	647
496	638	646
497	640	645
498	641	644
499	642	642
500	643	640
501	644	639
502	645	638
503	646	636
504	647	634
505	648	633
506	649	631
507	650	630
508	652	628
509	653	627
510	654	625
511	655	624
512	656	623
513	657	621
514	658	620
515	659	618
516	660	617
517	661	615
518	662	614
519	663	612
520	665	611
521	666	610
522	667	608
523	668	606
524	669	605
525	670	604
526	671	602
527	672	601
528	673	600
529	674	598
530	675	597
531	677	595
532	677	594
533	679	592
534	680	591
535	680	589
536	682	588
537	683	586
538	684	585
539	685	583
540	686	582
541	687	581
542	688	579
543	689	577
544	690	576
545	691	575
546	692	573
547	693	571
548	694	570
549	695	568
550	696	567
551	697	566
552	698	564
553	699	563
554	700	561
555	701	560
556	702	558
557	703	557
558	704	555
559	705	554
560	706	553
561	707	551
562	708	550
563	709	548
564	710	547
565	711	545
566	712	544
567	713	542
568	714	541
569	715	540
570	716	538
571	718	537
572	719	535
573	719	534
574	720	532
575	721	531
576	722	529
577	723	528
578	724	527
579	725	525
580	726	524
581	727	522
582	728	521
583	729	519
584	731	518
585	732	517
586	733	515
587	734	514
588	735	513
589	736	511
590	737	510
591	738	509
592	739	507
593	740	506
594	741	504
595	742	503
596	743	502
597	744	500
598	746	499
599	747	498
600	748	496
601	749	495
602	750	494
603	751	492
604	752	491
605	753	489
606	754	488
607	755	487
608	756	485
609	757	484
610	758	482
611	759	481
612	760	479
613	761	478
614	762	477
615	763	475
616	764	474
617	765	473
618	766	471
619	767	470
620	768	468
621	769	467
622	770	466
623	771	464
624	772	463
625	773	461
626	774	460
627	775	459
628	776	457
629	777	456
630	778	455
631	779	454
632	780	452
633	781	451
634	782	449
635	783	448
636	784	447
637	785	445
638	786	444
639	787	443
640	788	441
641	789	440
642	790	438
643	791	437
644	792	436
645	794	435
646	794	433
647	795	432
648	796	430
649	797	429
650	798	428
651	799	426
652	800	425
653	801	424
654	802	422
655	803	421
656	804	419
657	805	418
658	806	417
659	807	416
660	808	414
661	809	413
662	810	412
663	811	410
664	812	409
665	813	407
666	814	406
667	815	405
668	816	403
669	817	402
670	818	401
671	818	399
672	819	398
673	820	396
674	821	395
675	823	394
676	824	393
677	824	391
678	825	390
679	826	389
680	827	387
681	828	386
682	829	385
683	830	383
684	831	382
685	832	381
686	833	379
687	835	378
688	836	377
689	837	376
690	838	374
691	839	373
692	840	372
693	841	370
694	842	369
695	843	368
696	844	366
697	845	365
698	846	364
699	847	363
700	848	361
701	848	360
702	850	359
703	850	357
704	852	356
705	853	355
706	854	354
707	855	352
708	856	351
709	857	350
710	858	348
711	859	347
712	860	346
713	861	344
714	862	343
715	863	342
716	864	341
717	864	339
718	865	338
719	866	337
720	868	335
721	869	334
722	870	333
723	871	332
724	872	330
725	873	329
726	874	328
727	875	326
728	876	325
729	876	324
730	877	323
731	878	321
732	879	320
733	880	319
734	881	317
735	882	316
736	883	315
737	884	314
738	885	312
739	886	311
740	887	310
741	888	308
742	889	307
743	890	306
744	891	305
745	892	303
746	893	302
747	894	301
748	895	299
749	895	298
750	896	297
751	897	296
752	898	294
753	899	293
754	900	292
755	901	291
756	902	289
757	903	288
758	904	287
759	905	286
760	906	284
761	907	283
762	908	282
763	909	280
764	910	279
765	911	278
766	912	277
767	913	275
768	914	274
769	915	273
770	916	272
771	917	270
772	918	269
773	919	268
774	920	267
775	921	265
776	922	264
777	922	263
778	923	262
779	924	260
780	925	259
781	926	258
782	927	257
783	928	255
784	929	254
785	930	253
786	931	252
787	932	250
788	933	249
789	934	248
790	935	247
791	936	245
792	937	244
793	938	243
794	939	242
795	940	241
796	941	239
797	942	238
798	943	237
799	944	236
800	945	234
801	946	233
802	947	232
803	948	231
804	949	229
805	950	228
806	951	227
807	952	226
808	953	225
809	954	223
810	955	222
811	956	221
812	956	220
813	957	218
814	959	217
815	960	216
816	961	215
817	961	214
818	962	212
819	963	211
820	965	210
821	966	209
822	967	208
823	968	206
824	969	205
825	970	204
826	971	203
827	971	201
828	972	200
829	973	199
830	975	198
831	976	197
832	977	195
833	978	194
834	979	193
835	980	192
836	981	191
837	982	189
838	983	188
839	984	187
840	985	186
841	986	185
842	987	183
843	988	182
844	989	181
845	990	180
846	991	179
847	992	177
848	993	176
849	994	175
850	995	174
851	996	173
852	997	171
853	998	170
854	999	169
855	1000	168
856	1001	167
857	1002	165
858	1002	164
859	1003	163
860	1004	162
861	1005	161
862	1006	159
863	1007	158
864	1008	157
865	1009	156
866	1010	155
867	1011	153
868	1012	152
869	1013	151
870	1014	150
871	1015	149
872	1016	147
873	1017	146
874	1017	145
875	1018	144
876	1020	143
877	1021	141
878	1022	140
879	1023	139
880	1024	138
881	1025	137
882	1026	135
883	1027	134
884	1028	133
885	1028	132
886	1029	131
887	1030	130
888	1031	128
889	1032	127
890	1033	126
891	1034	125
892	1036	124
893	1037	122
894	1038	121
895	1039	120
896	1040	119
897	1041	118
898	1042	117
899	1043	115
900	1044	114
901	1045	113
902	1045	112
903	1046	111
904	1047	109
905	1048	108
906	1049	107
907	1050	106
908	1051	105
909	1052	104
910	1053	102
911	1054	101
912	1055	100
913	1056	99
914	1057	98
915	1058	97
916	1059	95
917	1061	94
918	1062	93
919	1063	92
920	1064	91
921	1066	90
922	1067	89
923	1069	87
924	1070	86
925	1071	85
926	1072	84
927	1074	83
928	1075	82
929	1076	81
930	1077	79
931	1078	78
932	1079	77
933	1081	76
934	1082	75
935	1083	74
936	1084	72
937	1085	71
938	1086	70
939	1087	69
940	1088	68
941	1089	67
942	1090	65
943	1092	64
944	1093	63
945	1094	62
946	1095	61
947	1096	60
948	1097	58
949	1099	57
950	1100	56
951	1101	55
952	1102	54
953	1103	53
954	1105	52
955	1106	50
956	1108	49
957	1109	48
958	1110	47
959	1112	46
960	1113	45
961	1115	44
962	1116	42
963	1117	41
964	1118	40
965	1119	39
966	1120	38
967	1121	37
968	1123	35
969	1123	34
970	1125	33
971	1126	32
972	1127	31
973	1128	30
974	1129	28
975	1130	27
976	1131	26
977	1133	25
978	1134	24
979	1135	23
980	1136	22
981	1137	20
982	1139	19
983	1140	18
984	1141	17
985	1142	16
986	1143	15
987	1144	13
988	1146	12
989	1147	11
990	1148	10
991	1149	9
992	1150	8
993	1151	6
994	1153	5
995	1154	4
996	1155	3
997	1156	2
998	1157	1
999	1158	0
